gene_id,baseMean,log2FC,lfcSE,stat,p_value,p_adj
CD27,56.027371954465465,-2.6111115414719483,0.7508274891021179,-3.4776451040630696,0.0005058391789583176,0.015263031647200182
LY6D,17043.247406379094,2.74065521237767,0.838530643315757,3.2684019769873203,0.0010815663454679983,0.025998329414698918
TFEC,103.14841303101596,-2.1455915527920792,0.6679876345232695,-3.212022860757518,0.0013180388668270783,0.029025544776643944
GCOM1,35.92387624518931,2.004951111904046,0.5366122452251121,3.7363126349510662,0.00018673847445669416,0.0077187292871586525
PKP1,3332.603961560347,2.6909356600661143,0.47817200354266165,5.627547493641655,1.8278984388448114e-08,5.613933080302128e-06
KLK7,1110.6918624991085,3.1286319426830143,0.6115386610906215,5.116000249441948,3.120826463104318e-07,6.001805084113881e-05
S100A8,41733.78524348363,4.259784629764302,0.9284465117947928,4.588077585136976,4.473463944041266e-06,0.0004455457202709887
INSYN1,25.150772350503164,2.397282426193206,0.6455893952039309,3.7133237379711677,0.0002045549477855125,0.00821995454897904
ALOX12,179.11592352154088,2.558678380883355,0.6166646299699291,4.149221889064929,3.3360732188709625e-05,0.0021489559285154188
KLK8,208.4274223527493,3.571702840329187,0.8236167048098962,4.336608059878524,1.4469830595343609e-05,0.0011738991340062017
SERPINB5,3783.1249236403723,3.0911664735503313,0.5714133898463043,5.4096850519757265,6.3135682306127e-08,1.6104977494934364e-05
TMPRSS11F,59.43053594125891,4.187407175802616,0.8249321164406734,5.076062735767861,3.8533611103633317e-07,6.943625327109995e-05
KLK5,95.14258136402435,3.2120762225710826,0.8384308176314655,3.8310569638232916,0.0001275939582326069,0.0058676162771192685
NR2F2-AS1,64.14615009592006,-2.350109199941304,0.5882457473913552,-3.9951146444545316,6.466295483275602e-05,0.003519424557495477
SFN,8711.74627416114,2.0366486394839387,0.44083915350145725,4.61993591836712,3.838585827461771e-06,0.00039738016407583237
GMNC,215.50845078964625,-3.566242959780094,1.0623597331451367,-3.356907127138716,0.0007881958340711804,0.020855661769523432
IFIT1,6275.925992208226,-5.629513068795734,0.8806326086263258,-6.392578486932314,1.6311145279301356e-10,1.1688974485779334e-07
KCNA3,31.300281836213934,-2.3095263064279052,0.6737203588155725,-3.428019171764596,0.0006080025209323939,0.017343040652061
CXCL9,1024.6958595498777,-3.9447266087324637,1.0081764124372805,-3.9127344778837183,9.125685785250189e-05,0.00456075614003353
IFI35,1745.6235746129144,-2.1041648552611303,0.5038934429616359,-4.175813130041726,2.969234999444077e-05,0.0019793749130014994
PLA2G2F,43.734259636408325,4.539561345423794,0.8447799200597351,5.373661515419066,7.71536306626867e-08,1.8430073524549284e-05
KLK9,79.75144896126491,4.799686248524751,0.8337770643035458,5.756558262410265,8.58461622018317e-09,2.952936287418607e-06
APOBEC3H,34.52092409516553,-2.378643053087277,0.6415749934567797,-3.707505868131247,0.00020931056796602416,0.008329539398692663
CSTA,9027.845216624028,3.2505399270934183,0.5466812685348913,5.945950802018299,2.748566977989332e-09,1.152990328157037e-06
EDIL3,217.17743660930887,2.507671231590346,0.4996779023064386,5.018575406307364,5.205606019292108e-07,8.459423065395627e-05
VSIG10L,478.27045204991964,2.5505224539284583,0.5665104015973986,4.50216350262362,6.7265201525259e-06,0.0006153692558685795
DNAJC12,47.24861336718496,-2.866352340766909,0.5763207006321076,-4.973537021354774,6.574221175532066e-07,0.00010006197344953627
WNT16,7.63333405811118,3.2728751435273384,1.0093962857474592,3.242408546316148,0.0011852398136195693,0.027282809181229672
FAM180A,7.383776909273076,2.391689997854948,0.7586350688544297,3.1526225138346144,0.0016181090491589833,0.033733160650285275
SPRR1B,10562.539152760213,4.159261247998267,0.7822386781777241,5.317125532180968,1.0541934211741063e-07,2.417476353436461e-05
FOXN1,121.28015247882004,2.516239707189795,0.6775463240466795,3.713753020105587,0.0002042080969783303,0.00821995454897904
ELOVL4,55.148443570881,3.1404604036549504,0.4605787157574641,6.818509618904499,9.198981818569174e-12,1.130094916411223e-08
SERPING1,5251.921756560003,-3.67238046984438,0.604561225422149,-6.074455845692145,1.2440886025373093e-09,5.7829945608214e-07
KRT42P,12.62796825144674,2.17620900107269,0.6815256617438364,3.1931431540000577,0.001407331596093726,0.03052294592839343
TMEM92,203.95344706292533,-2.010111281263622,0.40690814648895757,-4.939963229067892,7.813730449287538e-07,0.00011388843220109863
ADGRF4,414.9570214877094,4.064533374947712,0.6180543860504053,6.5763361067972905,4.821819337678038e-11,4.878262987572034e-08
KLRG2,10.540902674571125,2.639979731353484,0.7848103194503832,3.363844314894215,0.0007686488982136538,0.02049611224864594
DSG1,8.878939050025275,5.179057971166342,1.4460193042876575,3.5815967019317667,0.0003415006872481109,0.011637690615317725
NWD2,16.919454241542493,3.29221217576751,0.8987723640899044,3.6630100204529534,0.00024926878366884886,0.009352040366793974
DDX60,2536.9815201474544,-2.4142617587441872,0.5586701689979792,-4.321443837021698,1.5501151033393677e-05,0.0012342791510339714
TIMD4,9.519035284966305,-5.916930819518735,1.5652257943165895,-3.7802410623460188,0.00015667658911265066,0.006874185347317548
TMEM150B,8.089064480637505,-3.224318709203344,0.900484592090143,-3.5806483947929375,0.0003427426191754643,0.011637690615317725
BRINP1,7.4158117000393515,2.9683524789288662,0.7815437757481151,3.7980629761749154,0.00014583127620323543,0.006502502626296528
TPRG1,184.78822768550967,3.2190020600189277,0.6997867196471929,4.599975920723148,4.225397800822447e-06,0.0004300154838836998
IL36G,385.45115528875414,4.489247747664749,0.8300873951229977,5.408162771824234,6.367454326737233e-08,1.6104977494934364e-05
LINC02582,11.514978064179427,3.67285500471448,0.9563549481181362,3.8404726319884963,0.00012279766240991347,0.005708099988616491
FETUB,7.517468853004305,3.4832078339369263,1.0698881269890783,3.2556748187677416,0.0011312323105487844,0.026708468838899112
IVL,883.4128158099758,3.9813950505358418,0.5230081834937389,7.612490924979006,2.688630784882027e-14,7.706960144864331e-11
UCN2,18.588719892775078,3.024387784287572,0.7524534021744094,4.019368874601163,5.835424773601358e-05,0.0032510161982565937
CD247,180.8512725349977,-2.3509944740729436,0.7527537704430451,-3.1231918940628205,0.0017890106524556927,0.03598609726303661
CLDN17,55.10568585001832,4.370554894131711,0.853161447183195,5.12277589260693,3.0107010647447365e-07,6.001805084113881e-05
TF,1427.6943454316522,-2.4960192002940094,0.8305802371014261,-3.0051512049030475,0.0026544885301166853,0.04800688562510712
SLC4A4,701.9560911544056,-2.142515903867449,0.5041057248091587,-4.250132062433034,2.1364451407762353e-05,0.0015504101255785008
DSC2,1033.098407534858,2.4377431909779834,0.5382255537687898,4.529222319357184,5.920118167000794e-06,0.0005563940565805829
SLURP1,121.44284359965351,2.8397356207397206,0.6239687992026197,4.551085926682018,5.336974511633467e-06,0.0005099479145865778
TMPRSS3,397.4317430656607,-2.3785530086919793,0.7021796809141744,-3.3873851285404877,0.0007056225907261065,0.019232968205861026
LGALS17A,60.75852832656341,-5.168898258583301,1.2249643338906404,-4.2196316378993926,2.4470181011550798e-05,0.0016970267871679926
BPIFB2,22.392408614062695,-4.853239757555385,1.5287790353731998,-3.1745854994476885,0.001500506773931905,0.0319792019886677
BTN3A1,2045.7874515503104,-2.470741062823817,0.3959509910255546,-6.24001737291865,4.3752229801145446e-10,2.894210001345771e-07
IGFL2-AS1,19.278490546922306,3.1024525653496293,0.886803299681149,3.4984675479501703,0.00046794003158766545,0.014527257406635847
TAC1,5.762984668222492,3.4842487004916487,1.161782406987702,2.999054452481936,0.002708189006805693,0.04862019073909302
ZSCAN23,11.326455960404326,-2.5708518890979777,0.8229703534992081,-3.123869381402269,0.0017848967262331262,0.03594664964225239
SIGLEC12,9.474813869476797,-2.826855820212878,0.9037944020040584,-3.127764250303671,0.001761414023232624,0.03564065857126812
C10orf99,53.058784607182936,7.7713545195811236,1.566943333818989,4.959563215754973,7.065185444019582e-07,0.00010475355556180413
SPINK7,424.44555139097434,3.2234039395328775,0.8406816182184655,3.834274319407351,0.00012593553607084953,0.005822487324953067
ZNF285,16.300061296172437,-2.188199680583717,0.6891900654694361,-3.1750307937089066,0.0014982060112624786,0.0319697831112945
WFDC5,30.982729431154507,4.487477715333792,0.9186149365566502,4.88504762632613,1.034038559395813e-06,0.0001400291448617743
GIMAP8,120.78026640311464,-2.491858898379575,0.5278932265498261,-4.72038429942684,2.353994763960373e-06,0.00027172050970036544
PNCK,83.69246113472843,-2.0426889358774107,0.5894608956321222,-3.4653510538419776,0.0005295397582247359,0.015675652842869592
MUC13,2816.519649451586,-3.670151425232803,0.8534426793371241,-4.300407647861529,1.704842088139559e-05,0.0013207918501762287
